Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
Hu Tao Ghost Night Lamp (15x14cm) - Genshin Impact,Ready Stock,580000,1255,Hu Tao,Genshin Impact,Merchandise - Stationery,Mihoyo
Nendoroid Satoru Gojo - Jujutsu Kaisen,Ready Stock,950000,862,Satoru Gojo,Jujutsu Kaisen,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Inumaki Toge - Jujutsu Kaisen,Ready Stock,690000,857,Inumaki Toge,Jujutsu Kaisen,Nendoroid,Good Smile Company
[REVIVE] LookUp Figure Gojo Satoru - Jujutsu Kaisen (11cm),Late Pre-Order,680000,702,Gojo Satoru,Jujutsu Kaisen,Lookup,MegaHouse
Nendoroid Denji - Chainsaw Man (Re-release),Ready Stock,720000,684,Denji,Chainsaw Man,Nendoroid,Good Smile Company
Jumpy Dumpty Klee Mug - Genshin Impact (360ml 11x15cm),Ready Stock,380000,675,Klee,Genshin Impact,Merchandise - Mug,Mihoyo
[Limited Production] Nendoroid Nanami Kento - Jujutsu Kaisen,Ready Stock,650000,599,Nanami Kento,Jujutsu Kaisen,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Okkotsu Yuta - Jujutsu Kaisen 0 Ver.,Ready Stock,890000,580,Okkotsu Yuta,Jujutsu Kaisen,Nendoroid,Good Smile Company
Nendoroid Levi - Shingeki no Kyojin / Attack on Titan (Re-Release),Sold Out,760000,551,Levi,Shingeki no Kyojin,Nendoroid,Good Smile Company
Artist Master Piece Figure Hatsune Miku - Birthday 2021 Happy Cat Ver. (23cm),Ready Stock,480000,546,Vocaloid,Prize Figure,Taito,
Nendoroid Power - Chainsaw Man (Re-release),Ready Stock,660000,533,Power,Chainsaw Man,Nendoroid,Good Smile Company
Nendoroid Osamu Dazai Dark Era Ver. - Bungo / Bungou Stray Dogs,Ready Stock,530000,520,Osamu Dazai,Bungou Stray Dogs,Nendoroid,Orange Rouge
Nendoroid Izumi Miyamura - Horimiya,Sold Out,950000,508,Izumi Miyamura,Horimiya,Nendoroid,Good Smile Company
Nendoroid Anya Forger - SPY x FAMILY,Ready Stock,680000,488,Anya Forger,SPY x FAMILY,Nendoroid,Good Smile Company
Taroumaru Thoma Inazuma Plush - Genshin Impact,Ready Stock,500000,462,Taroumaru,Genshin Impact,Merchandise - Plush,Mihoyo
Pop Up Parade Figure Satoru Gojo - Jujutsu Kaisen,Sold Out,480000,453,Satoru Gojo,Jujutsu Kaisen,Pop Up Parade,Good Smile Company
"Raiden Shogun Figure - Statue of Her Excellency, the Almighty Narukami Ogosho, God of Thunder (11cm)",Ready Stock,800000,447,Raiden Shogun,Genshin Impact,Mini Figure,Mihoyo
LookUp / Rukappu Figure Yuji Itadori - Jujutsu Kaisen (11cm),Ready Stock,530000,425,Yuji Itadori,Yuji Itadori,Scaled Figure,MegaHouse
Nendoroid Hitori Gotoh - Bocchi the Rock!,Ready Stock,820000,416,Hitori Gotoh,Bocchi the Rock!,Nendoroid,Good Smile Company
PVC Figure Nanami Kento - Jujutsu Kaisen (18cm),Ready Stock,350000,408,Nanami Kento,Jujutsu Kaisen,Prize Figure,Taito
"Nendoroid Komi Shoko - Komi-san wa, Comyushou desu.",Ready Stock,640000,401,Komi Shoko,"Komi-san wa, Comyushou desu",Nendoroid,Good Smile Company
Nendoroid Ryomen Sukuna - Jujutsu Kaisen,Ready Stock,600000,395,Ryomen Sukuna,Jujutsu Kaisen,Nendoroid,Good Smile Company
Nendoroid Loid Forger - SPY x FAMILY,Ready Stock,680000,387,Loid Forger,SPY x FAMILY,Nendoroid,Good Smile Company
PVC Figure 1/7 Ganyu - Plenilune Gaze Ver. Genshin Impact,Ready Stock,2450000,386,Ganyu,Genshin Impact,Scaled Figure,APEX
Zhongli Rex Lapis / Morax Azhdaha BIG Plush (67cm) - Genshin Impact,Ready Stock,660000,382,Zhongli,Genshin Impact,Merchandise - Plush,Mihoyo
Nendoroid Yor Forger - SPY x FAMILY,Ready Stock,680000,376,Yor Forger,SPY x FAMILY,Nendoroid,Good Smile Company
[REVIVE] PVC Figure 1/7 Keqing - Driving Thunder Ver. Genshin Impact,Late Pre-Order,2650000,364,Keqing,Genshin Impact,Scaled Figure,APEX
Nendoroid Giyu Tomioka - Kimetsu no Yaiba (Re-Release),Ready Stock,890000,349,Giyu Tomioka,Kimetsu no Yaiba,Nendoroid,Good Smile Company
